"Date","Company","Close","MA7","MA30","Tariff_Period"
2025-01-02,"JFC",268,NA,NA,"Before"
2025-01-02,"URC",78.7,NA,NA,"Before"
2025-01-02,"CNPF",42,NA,NA,"Before"
2025-01-02,"GSMI",272.2514,NA,NA,"Before"
2025-01-02,"MONDE",8.6,NA,NA,"Before"
2025-01-03,"JFC",266.6,NA,NA,"Before"
2025-01-03,"URC",79.8,NA,NA,"Before"
2025-01-03,"CNPF",42.15,NA,NA,"Before"
2025-01-03,"GSMI",271.2614,NA,NA,"Before"
2025-01-03,"MONDE",8.4,NA,NA,"Before"
2025-01-06,"JFC",261,NA,NA,"Before"
2025-01-06,"URC",82.4,NA,NA,"Before"
2025-01-06,"CNPF",42.9,NA,NA,"Before"
2025-01-06,"GSMI",269.0834,NA,NA,"Before"
2025-01-06,"MONDE",8.33,NA,NA,"Before"
2025-01-07,"JFC",264,NA,NA,"Before"
2025-01-07,"URC",80,NA,NA,"Before"
2025-01-07,"CNPF",43.25,NA,NA,"Before"
2025-01-07,"GSMI",269.2814,NA,NA,"Before"
2025-01-07,"MONDE",8.22,NA,NA,"Before"
2025-01-08,"JFC",267,NA,NA,"Before"
2025-01-08,"URC",77.65,NA,NA,"Before"
2025-01-08,"CNPF",43.5,NA,NA,"Before"
2025-01-08,"GSMI",274.8254,NA,NA,"Before"
2025-01-08,"MONDE",8.05,NA,NA,"Before"
2025-01-09,"JFC",264.6,NA,NA,"Before"
2025-01-09,"URC",79.15,NA,NA,"Before"
2025-01-09,"CNPF",43.5,NA,NA,"Before"
2025-01-09,"GSMI",275.0234,NA,NA,"Before"
2025-01-09,"MONDE",7.9,NA,NA,"Before"
2025-01-10,"JFC",262.4,264.8,NA,"Before"
2025-01-10,"URC",78.75,79.4928571428571,NA,"Before"
2025-01-10,"CNPF",44.5,43.1142857142857,NA,"Before"
2025-01-10,"GSMI",270.2714,271.713971428571,NA,"Before"
2025-01-10,"MONDE",7.85,8.19285714285714,NA,"Before"
2025-01-13,"JFC",255,262.942857142857,NA,"Before"
2025-01-13,"URC",75,78.9642857142857,NA,"Before"
2025-01-13,"CNPF",44.15,43.4214285714286,NA,"Before"
2025-01-13,"GSMI",272.2514,271.713971428571,NA,"Before"
